,tier,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak,accountId
869,GRANDMASTER,9QWdSOdEM6KOZr6qrQVXYw5g6ELyfQzblsOidi3UZ8j2LSU,Isaidhai2,351,529,486,False,False,False,False,vcO6-2q_VW0op6N4ipu9bM1H0_QIXjnDir6YZpbdSUJR6IY
870,GRANDMASTER,BLu5ZpIKnX7GQUu8du17GPHCrscUU4z7F0BiogClrpMWX89k,Benimarû,371,381,360,False,False,True,False,uopa1fxQBEXn-Qlz22GOUwX1MF4_ArY31gmn3DjovHtJrd4X43Ofkzkx
871,GRANDMASTER,q-s81KalCbU2oJe9U_-qjP4B_BbRK-Z8wzaEZioV4D-kCOA,Piqueos,308,396,369,False,False,True,True,gNW-i3ykbv1z4Uo7s0lTe-GhpNI3pUaWIXXw5kK8behgbg
872,GRANDMASTER,pa_MVmsQpw22XutMfQvyv60_i6m-MJdY5Cqa_tNnml-Xr0I,Millennium Baby,358,215,187,True,False,False,False,mb1siXNuIGjIt4iAP0BY3ODFFkBFiJEzltkJ-QPw1c1YAZE
873,GRANDMASTER,GFqtqcdzrg4rV9l7gHbPbRd65S32hc0fW2d78s1aZ6wK854,JDPayne,467,364,345,True,False,False,True,HZIeYnB9YXg2pGDcLx_ZIEcGMwyxJrXf3B1XNal3JU3w-to
874,GRANDMASTER,qe3Bf2B1ZcbP0qrPoJxznYmz2_4pKWeQNf3KxYlEA-0cIYI,Sarcasm2,307,72,67,False,False,False,False,YBHbG2c-ozT6auaGpZL7HNZ4vcXP1rjXvvdJ68H2vSp7cQ
875,GRANDMASTER,AiTki2Yw-DQkpPwnJiHnrIMDQ6h3aAhwsPRoYvy7-HRHjdk,haha lol bad,349,164,142,False,False,False,False,AoFeRfDeEur-hKzIJzB0FKV2pfxVk-vsP9O-Md68OypgX0Q
876,GRANDMASTER,ux6uTWoqrEVQbIE9EsxJwGrI9IJNMVYYSjg0ro_DeGSO4nk,PMA Enthusiast,473,531,451,False,False,False,False,KFqpuZ-1S4pUbAL4NIUd9aW-9hD2-1FAyIRtFwZ77AK7fA
877,GRANDMASTER,_OnGBzfDTIiftD_9liIcmY7yX-j9DsdBXgmZ-_4q8oyAr40,Kuck Fyvinn,423,220,200,False,False,False,False,DlhDAHzMyl3Dmk9G56u8iA_ut7r0bTuwsnefFMiyF5hZqA
878,GRANDMASTER,KULLpIfR70VKlCKGRFrfYBKhYf_rQ1mUFnw3gPm2lqu0,admirable potato,415,163,164,True,False,False,False,6POq3AmYtualvVjsUf6TnIxjt7LkS5Mpqll7MhBky8Q
